level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
3	1	31	1	0	0	655	103	885	11	-1	
4	1	31	1	1	0	655	103	885	11	-1	
5	1	31	1	1	1	655	103	885	11	95.000000	 
2	1	32	0	0	0	665	89	867	1505	-1	
3	1	32	1	0	0	896	89	636	1505	-1	
4	1	32	1	1	0	1490	93	42	1501	-1	
5	1	32	1	1	1	1490	93	42	14	0.000000	z
5	1	32	1	1	2	1497	1564	20	30	76.491432	st
4	1	32	1	2	0	1449	89	41	1504	-1	
5	1	32	1	2	1	1449	89	41	17	36.961205	x
5	1	32	1	2	2	1455	1566	18	27	33.132233	et
4	1	32	1	3	0	1407	89	42	1503	-1	
5	1	32	1	3	1	1407	89	42	17	68.837379	3
5	1	32	1	3	2	1414	1566	18	26	66.711823	et
4	1	32	1	4	0	1369	89	35	1502	-1	
5	1	32	1	4	1	1369	89	35	16	5.938139	3
5	1	32	1	4	2	1371	1566	18	25	34.893524	zt
4	1	32	1	5	0	1283	89	39	1504	-1	
5	1	32	1	5	1	1283	89	39	15	0.000000	.
5	1	32	1	5	2	1289	1566	17	27	60.977341	or
4	1	32	1	6	0	1239	89	43	1497	-1	
5	1	32	1	6	1	1239	89	43	15	60.006145	3
5	1	32	1	6	2	1247	1572	18	14	74.449783	6
4	1	32	1	7	0	1196	89	36	1497	-1	
5	1	32	1	7	1	1196	89	36	15	95.551926	2
5	1	32	1	7	2	1206	1572	18	14	64.569733	g
4	1	32	1	8	0	1161	89	32	1496	-1	
5	1	32	1	8	1	1161	89	32	17	53.866711	3
5	1	32	1	8	2	1165	1572	17	13	60.940891	é
4	1	32	1	9	0	1041	1571	17	15	-1	
5	1	32	1	9	1	1041	1571	17	15	47.763027	v
4	1	32	1	10	0	1000	1571	17	14	-1	
5	1	32	1	10	1	1000	1571	17	14	43.351791	€
4	1	32	1	11	0	958	1571	18	13	-1	
5	1	32	1	11	1	958	1571	18	13	10.195055	4
4	1	32	1	12	0	887	262	68	1321	-1	
5	1	32	1	12	1	914	262	25	52	45.166588	(cre
